quarter,experimental,surrogate_index,bias_01,bias_05,upper_bias_01,lower_bias_01,upper_bias_05,lower_bias_05
1,.062003888,.015472482,.074106164,.16570643,.089578643,-.058633681,.18117891,-.15023394
2,.062003888,.037357148,.071065888,.15890816,.10842304,-.03370874,.19626531,-.12155101
3,.062003888,.052750733,.06737078,.15064564,.12012151,-.014620047,.20339638,-.097894907
4,.062003888,.057931222,.064905509,.14513314,.12283673,-.0069742873,.20306435,-.087201916
5,.062003888,.071543559,.061850809,.13830261,.13339436,.0096927509,.20984617,-.06675905
6,.062003888,.074823484,.058715172,.13129112,.13353866,.016108312,.20611461,-.056467637
7,.062003888,.074814178,.056477185,.12628683,.13129136,.018336993,.20110101,-.051472656
8,.062003888,.076342672,.054385085,.12160875,.13072775,.021957587,.19795142,-.045266077
9,.062003888,.080041699,.052192472,.11670592,.13223417,.027849227,.19674762,-.036664218
10,.062003888,.078268021,.050213113,.11227993,.12848113,.028054908,.19054794,-.034011908
11,.062003888,.079921797,.048218206,.10781918,.12814,.031703591,.18774098,-.027897388
12,.062003888,.078859299,.045776896,.10236026,.1246362,.033082403,.18121955,-.023500957
13,.062003888,.078107916,.043181177,.096556045,.12128909,.034926739,.17466396,-.018448129
14,.062003888,.07863643,.041174293,.092068516,.11981072,.037462138,.17070495,-.013432086
15,.062003888,.078767613,.03996677,.08936841,.11873438,.038800843,.16813603,-.010600798
16,.062003888,.071227215,.037440483,.083719462,.1086677,.033786733,.15494668,-.012492247
17,.062003888,.074932955,.035242744,.078805171,.1101757,.039690211,.15373813,-.0038722157
18,.062003888,.076504216,.032653816,.073016152,.10915803,.0438504,.14952037,.0034880638
19,.062003888,.074611925,.031093976,.069528244,.1057059,.043517947,.14414017,.0050836802
20,.062003888,.076918699,.028633595,.064026669,.10555229,.048285104,.14094537,.01289203
21,.062003888,.074078225,.026443312,.059129041,.10052153,.047634915,.13320726,.014949184
22,.062003888,.072922602,.024703737,.055239238,.097626343,.048218865,.12816185,.017683364
23,.062003888,.074131109,.02274929,.050868958,.096880399,.051381819,.12500006,.023262151
24,.062003888,.073722094,.020873882,.046675418,.094595976,.052848212,.12039751,.027046677
25,.062003888,.072701484,.019219149,.042975321,.091920629,.053482335,.11567681,.029726163
26,.062003888,.068607233,.017270273,.038617507,.085877508,.051336959,.10722474,.029989727
27,.062003888,.067534775,.015265465,.034134619,.082800239,.05226931,.10166939,.033400156
28,.062003888,.065349579,.013577779,.030360837,.07892736,.051771801,.095710412,.034988742
29,.062003888,.064473495,.011655935,.026063463,.076129429,.052817561,.090536959,.03841003
30,.062003888,.063355982,.0097576259,.021818714,.073113605,.053598356,.085174695,.04153727
31,.062003888,.064715967,.0081909131,.01831544,.072906882,.056525052,.083031408,.046400525
32,.062003888,.062795892,.0064994181,.014533141,.069295309,.056296475,.077329032,.048262753
33,.062003888,.06298025,.0049387878,.011043466,.067919038,.058041461,.074023716,.051936783
34,.062003888,.061630204,.0032491228,.0072652595,.064879328,.058381081,.068895467,.054364946
35,.062003888,.062385362,.0017304879,.0038694886,.064115852,.060654875,.066254847,.058515873
36,.062003888,.062003888,0,0,.062003888,.062003888,.062003888,.062003888
