quarter,experimental,experimental_se,surrogate_index,surrogate_index_se,naive,naive_se,single_surrogate,single_surrogate_se,bias_01,bias_05,upper_experimental,lower_experimental,upper_surrogate_index,lower_surrogate_index,upper_naive,lower_naive
1,.062003888,.01059421,.015472482,.0033789261,.063166857,.013794564,.015472482,.0033789261,.074106164,.16570643,.082772776,.041235,.022096528,.0088484352,.090209715,.036123995
2,.062003888,.01059421,.037357148,.0042089699,.10683336,.01279272,.038343333,.0039323922,.071065888,.15890816,.082772776,.041235,.045608412,.029105883,.13191222,.081754513
3,.062003888,.01059421,.052750733,.0051975176,.12262144,.012290148,.047934316,.0049032778,.06737078,.15064564,.082772776,.041235,.062939949,.04256152,.14671504,.098527834
4,.062003888,.01059421,.057931222,.0057742037,.12593125,.012049017,.04446518,.0052484726,.064905509,.14513314,.082772776,.041235,.069250971,.046611473,.14955214,.10231035
5,.062003888,.01059421,.071543559,.0063992189,.1324522,.011835827,.056438819,.0057431343,.061850809,.13830261,.082772776,.041235,.084088586,.058998533,.15565516,.10924925
6,.062003888,.01059421,.074823484,.006937833,.13323602,.011693652,.052636765,.006222744,.058715172,.13129112,.082772776,.041235,.088424414,.061222557,.15616025,.11031178
7,.062003888,.01059421,.074814178,.0072361431,.13046488,.011597672,.044499312,.0063529047,.056477185,.12628683,.082772776,.041235,.088999912,.060628444,.15320095,.10772881
8,.062003888,.01059421,.076342672,.0075309817,.12757029,.011501911,.042874016,.006466629,.054385085,.12160875,.082772776,.041235,.091106407,.061578937,.15011863,.10502194
9,.062003888,.01059421,.080041699,.0078274002,.12631164,.011429009,.048588485,.0067481739,.052192472,.11670592,.082772776,.041235,.095386535,.064696863,.14871708,.10390621
10,.062003888,.01059421,.078268021,.0080959396,.12315071,.011384563,.041585676,.0070456183,.050213113,.11227993,.082772776,.041235,.0941393,.062396742,.14546899,.10083241
11,.062003888,.01059421,.079921797,.0083356909,.1208923,.011348296,.044845589,.0072880387,.048218206,.10781918,.082772776,.041235,.096263088,.063580506,.1431395,.098645106
12,.062003888,.01059421,.078859299,.0085997647,.11774389,.011290924,.039000589,.0074488441,.045776896,.10236026,.082772776,.041235,.095718279,.062000323,.13987862,.095609166
13,.062003888,.01059421,.078107916,.0088544516,.11484361,.011232659,.038829956,.0076710093,.043181177,.096556045,.082772776,.041235,.095466182,.06074965,.13686411,.092823103
14,.062003888,.01059421,.07863643,.009044596,.11229372,.011193042,.038826261,.0077798702,.041174293,.092068516,.082772776,.041235,.096367456,.060905404,.13423656,.090350881
15,.062003888,.01059421,.078767613,.0091258176,.1099236,.011157166,.037379976,.0076698568,.03996677,.08936841,.082772776,.041235,.096657865,.06087736,.13179611,.088051096
16,.062003888,.01059421,.071227215,.0093431296,.10543846,.011116526,.019431204,.0079429857,.037440483,.083719462,.082772776,.041235,.089543484,.052910946,.1272313,.083645627
17,.062003888,.01059421,.074932955,.0094742365,.10340009,.011074917,.03567072,.0079076663,.035242744,.078805171,.082772776,.041235,.093506247,.056359664,.12511136,.081688821
18,.062003888,.01059421,.076504216,.0096371118,.10156891,.011030254,.036266938,.0080618411,.032653816,.073016152,.082772776,.041235,.095396809,.057611622,.12319262,.079945207
19,.062003888,.01059421,.074611925,.0097526275,.09912359,.011000337,.02849257,.0081178853,.031093976,.069528244,.082772776,.041235,.093730971,.055492874,.12068865,.077558532
20,.062003888,.01059421,.076918699,.0098737422,.097538471,.010948253,.034765903,.0080314176,.028633595,.064026669,.082772776,.041235,.096275181,.057562217,.11900143,.076075517
21,.062003888,.01059421,.074078225,.0099688116,.095306858,.010909356,.026648272,.0082123056,.026443312,.059129041,.082772776,.041235,.093621083,.054535367,.11669356,.073920161
22,.062003888,.01059421,.072922602,.010031873,.093059577,.010877983,.024114523,.0082195923,.024703737,.055239238,.082772776,.041235,.092589088,.053256117,.11438477,.071734384
23,.062003888,.01059421,.074131109,.010124075,.091489032,.010854653,.02979118,.0082572382,.02274929,.050868958,.082772776,.041235,.093978345,.054283872,.11276849,.07020957
24,.062003888,.01059421,.073722094,.010207844,.089630358,.010822526,.023811832,.0080588916,.020873882,.046675418,.082772776,.041235,.093733549,.053710639,.11084684,.068413876
25,.062003888,.01059421,.072701484,.010273751,.087616958,.010799003,.02018331,.0081486274,.019219149,.042975321,.082772776,.041235,.092842147,.052560825,.10878732,.066446595
26,.062003888,.01059421,.068607233,.01035151,.08456938,.010767958,.0042311479,.007985888,.017270273,.038617507,.082772776,.041235,.088900335,.048314136,.10567889,.063459873
27,.062003888,.01059421,.067534775,.010406357,.081693619,.010732005,.0034203182,.0078465044,.015265465,.034134619,.082772776,.041235,.087935396,.047134154,.10273264,.060654595
28,.062003888,.01059421,.065349579,.010444516,.078789085,.010707857,.00018308734,.0079476992,.013577779,.030360837,.082772776,.041235,.085825011,.04487415,.099780768,.057797402
29,.062003888,.01059421,.064473495,.010474317,.076318808,.010692409,.0036578325,.0081263464,.011655935,.026063463,.082772776,.041235,.085007347,.043939646,.097280204,.055357412
30,.062003888,.01059421,.063355982,.010510888,.073650859,.010671803,-.0018645658,.0079559106,.0097576259,.021818714,.082772776,.041235,.083961524,.042750437,.094571859,.052729856
31,.062003888,.01059421,.064715967,.01053008,.071872741,.010651628,.0090690358,.0077788951,.0081909131,.01831544,.082772776,.041235,.085359134,.044072799,.092754193,.050991289
32,.062003888,.01059421,.062795892,.010554296,.069545098,.010637732,-.0012643505,.0077488339,.0064994181,.014533141,.082772776,.041235,.083486535,.04210525,.09039931,.048690889
33,.062003888,.01059421,.06298025,.010567995,.067560866,.010622995,.0019276025,.0075868857,.0049387878,.011043466,.082772776,.041235,.083697744,.042262752,.088386185,.046735547
34,.062003888,.01059421,.061630204,.010582434,.065265201,.010612544,-.0048274975,.0074431449,.0032491228,.0072652595,.082772776,.041235,.082376011,.040884402,.086070031,.044460371
35,.062003888,.01059421,.062385362,.01059117,.063888252,.010602754,.0076011112,.0072029955,.0017304879,.0038694886,.082772776,.041235,.083148293,.041622434,.084673889,.043102615
36,.062003888,.01059421,.062003888,.01059421,.062003888,.01059421,-.0016998021,.0070171002,0,0,.082772776,.041235,.082772776,.041235,.082772776,.041235
