experimental_emp,experimental_se_emp,surrogate_index_emp,surrogate_index_se_emp,naive_emp,naive_se_emp,single_surrogate_emp,single_surrogate_se_emp,emp_weight_1_b,emp_weight_1_se,emp_weight_2_b,emp_weight_2_se,emp_weight_3_b,emp_weight_3_se,emp_weight_4_b,emp_weight_4_se,emp_weight_5_b,emp_weight_5_se,emp_weight_6_b,emp_weight_6_se,emp_weight_7_b,emp_weight_7_se,emp_weight_8_b,emp_weight_8_se,emp_weight_9_b,emp_weight_9_se,emp_weight_10_b,emp_weight_10_se,emp_weight_11_b,emp_weight_11_se,emp_weight_12_b,emp_weight_12_se,emp_weight_13_b,emp_weight_13_se,emp_weight_14_b,emp_weight_14_se,emp_weight_15_b,emp_weight_15_se,emp_weight_16_b,emp_weight_16_se,emp_weight_17_b,emp_weight_17_se,emp_weight_18_b,emp_weight_18_se,emp_weight_19_b,emp_weight_19_se,emp_weight_20_b,emp_weight_20_se,emp_weight_21_b,emp_weight_21_se,emp_weight_22_b,emp_weight_22_se,emp_weight_23_b,emp_weight_23_se,emp_weight_24_b,emp_weight_24_se,emp_weight_25_b,emp_weight_25_se,emp_weight_26_b,emp_weight_26_se,emp_weight_27_b,emp_weight_27_se,emp_weight_28_b,emp_weight_28_se,emp_weight_29_b,emp_weight_29_se,emp_weight_30_b,emp_weight_30_se,emp_weight_31_b,emp_weight_31_se,emp_weight_32_b,emp_weight_32_se,emp_weight_33_b,emp_weight_33_se,emp_weight_34_b,emp_weight_34_se,emp_weight_35_b,emp_weight_35_se,emp_weight_36_b,emp_weight_36_se,emp_constant,emp_constant_se,bias_01_emp,bias_05_emp,quarter
.062003888,.01059421,.015472482,.0033789261,.063166857,.013794564,.015472482,.0033789261,.2449462,.010933703,.12696013,.012498574,.10079497,.011909193,.097993053,.011471754,.08117193,.010928243,.075370885,.010373216,.071264729,.010023708,.065632313,.0096705481,.061813753,.0092563909,.064193428,.0088706305,.061541915,.0084738256,.058162253,.0080334591,.055677958,.0075522084,.05296544,.0071763648,.048109505,.0069845687,.049012963,.0065464042,.045406993,.0061947117,.045393147,.0057403394,.040674429,.0054374733,.037006032,.0050090058,.035766792,.004654251,.034588199,.0043771937,.029626196,.0040113875,.027434748,.0036715863,.024740035,.0033451114,.024900433,.0030064876,.025671331,.002673402,.026044471,.0023969379,.026647102,.0020512184,.027398257,.0017126622,.028480371,.0014352163,.027678223,.0011355645,.026391424,.00086115341,.027253252,.00057956728,.027866188,.00029915813,.027777778,0,.26641342,.0050480901,.074106164,.16570643,1
.062003888,.01059421,.037357148,.0042089699,.10683336,.01279272,.038343333,.0039323922,,,.19493356,.011029333,.060442101,.012078619,.036667269,.011704382,.03024637,.011125854,.017840503,.010572344,.020731306,.010214707,.023784172,.0098512154,.022325866,.0094276192,.019697869,.0090348683,.02198145,.0086304313,.026752533,.008183267,.01795999,.0077009904,.023498243,.0073210569,.027484881,.0071230065,.023559252,.0066779498,.0230904,.0063171512,.023789091,.005853856,.026036128,.005541801,.029876908,.0051052086,.033908688,.0047458624,.037609298,.004465742,.0313887,.0040944219,.030188402,.003747029,.033228531,.0034141184,.031477999,.0030689836,.031146633,.0027288939,.030268634,.0024468107,.028856896,.0020941386,.029061606,.0017484163,.027267847,.0014655453,.026377024,.0011595815,.028265661,.00087968988,.027538249,.00059200329,.027133429,.00030554624,.027777778,0,.23036252,.0052877893,.071065888,.15890816,2
.062003888,.01059421,.052750733,.0051975176,.12262144,.012290148,.047934316,.0049032778,,,,,.24181508,.010866436,.11647245,.012459332,.10566749,.011849726,.081227235,.011298645,.074780457,.010921085,.069010332,.010535686,.063993827,.010085439,.06261719,.0096644918,.057855695,.0092340084,.049278948,.0087610213,.052563369,.008236547,.049931895,.0078264,.045976344,.0076140291,.041604277,.007138466,.03827291,.0067543411,.033823054,.0062611084,.034165602,.0059264088,.035571128,.0054577822,.028931772,.0050772321,.026059605,.0047761989,.023206901,.0043741874,.023088323,.0040028184,.018920144,.0036482199,.01989289,.0032790464,.021258753,.0029159356,.01994204,.0026146709,.021453138,.0022378054,.026303282,.0018716648,.029329754,.0015697923,.029509649,.0012419296,.028036704,.00094184611,.027911855,.00063374423,.028230432,.00032707874,.027777778,0,.19670013,.0052370448,.06737078,.15064564,3
.062003888,.01059421,.057931222,.0057742037,.12593125,.012049017,.04446518,.0052484726,,,,,,,.20803015,.011218539,.066029221,.012497617,.060742814,.011861494,.045140058,.011492408,.041716214,.011083439,.033642948,.010614124,.023429714,.010183906,.024727028,.0097274343,.024330461,.0092202974,.027697286,.0086682672,.017746266,.0082483031,.017659934,.008020225,.010192628,.0075230668,.018914906,.0071269097,.025337573,.0066084801,.024464296,.00625531,.024775254,.0057604434,.024208656,.0053522401,.025883676,.0050338008,.031133352,.0046124798,.02923972,.0042213765,.029894378,.0038446919,.030153144,.0034555004,.030395482,.0030725673,.029672073,.002754882,.030714739,.0023576152,.027633529,.0019696557,.026053267,.0016507324,.026650438,.0013060116,.025878621,.00099016295,.026163595,.00066626444,.026669046,.00034387992,.027777778,0,.17411886,.0051891538,.064905509,.14513314,4
.062003888,.01059421,.071543559,.0063992189,.1324522,.011835827,.056438819,.0057431343,,,,,,,,,.23086032,.010604794,.097008072,.011748062,.081234984,.011383895,.066498928,.011006891,.059616473,.010538838,.060622443,.010098833,.05180959,.0096554784,.046656344,.0091549912,.037350725,.0086144283,.041963186,.0081872279,.042014118,.0079608383,.042342819,.0074613239,.03797118,.0070607834,.032163143,.0065464508,.026435245,.0062016617,.019401358,.0057165315,.017358037,.0053119622,.016653623,.004995524,.017607899,.004574019,.023597078,.0041907108,.023530943,.0038167017,.022352157,.0034305286,.024341686,.0030509138,.025284305,.0027355312,.026281547,.0023410446,.02925401,.0019557413,.03093566,.0016391309,.030213,.0012968581,.030999437,.00098322798,.029479435,.00066191697,.028942756,.00034164038,.027777778,0,.14877559,.0050664926,.061850809,.13830261,5
.062003888,.01059421,.074823484,.006937833,.13323602,.011693652,.052636765,.006222744,,,,,,,,,,,.22763041,.01030992,.10766802,.012033497,.089612268,.01164574,.073845029,.011172144,.059626102,.010729597,.054677762,.010251272,.056018189,.0097169923,.053311385,.0091347275,.047353171,.0086831311,.040587828,.0084536821,.034692891,.0079268347,.034392491,.007498533,.033655979,.0069485814,.03630846,.0065781577,.035781518,.0060577686,.033367634,.0056291944,.035029426,.005294221,.036493368,.00484765,.035776272,.0044361497,.037629653,.0040407069,.034228116,.0036331904,.033414513,.0032306456,.034673747,.0028967785,.029798999,.0024818906,.031003946,.002072331,.027207773,.0017385867,.028179491,.0013755957,.028242985,.0010428213,.027982295,.00070169446,.027273417,.00036219158,.027777778,0,.1297902,.0048839259,.058715172,.13129112,6
.062003888,.01059421,.074814178,.0072361431,.13046488,.011597672,.044499312,.0063529047,,,,,,,,,,,,,.19222862,.010821359,.080242828,.012106343,.071757086,.011593102,.054060053,.011144802,.047298547,.010650108,.041474525,.010098225,.039535023,.0094927382,.038602781,.0090190656,.040334996,.0087703457,.048290025,.0082263499,.042750344,.0077856681,.041340157,.0072147925,.03527924,.0068343566,.029783674,.006296718,.03549974,.00585448,.030414836,.0055097169,.033263244,.0050456468,.023271443,.0046299463,.025915042,.0042176549,.029156556,.0037920275,.029828822,.0033718499,.027607653,.0030238861,.027130874,.002587697,.027901789,.0021605575,.028970564,.0018104467,.026085077,.0014334269,.026499663,.0010866863,.027498553,.0007313299,.028348049,.00037750773,.027777778,0,.11756198,.0047680684,.056477185,.12628683,7
.062003888,.01059421,.076342672,.0075309817,.12757029,.011501911,.042874016,.006466629,,,,,,,,,,,,,,,.18955331,.010390065,.063484028,.011751064,.049166262,.011283477,.032421421,.010808182,.028950287,.010245863,.03455222,.0096339881,.031040749,.0091545833,.026681267,.0089056417,.026610544,.0083468314,.031848181,.0078991866,.02772365,.0073214006,.023989268,.006931969,.02737336,.0063846991,.024610559,.0059331362,.029217171,.0055829091,.023874285,.0051150108,.028758079,.0046837339,.028217822,.0042657615,.031156747,.0038350152,.027102901,.0034120921,.026480777,.0030592624,.029301977,.0026188921,.028550798,.002186598,.02809155,.0018321264,.027809391,.001449478,.029553097,.0010992573,.029586794,.00073965959,.026909711,.00038250617,.027777778,0,.10634279,.004638677,.054385085,.12160875,8
.062003888,.01059421,.080041699,.0078274002,.12631164,.011429009,.048588485,.0067481739,,,,,,,,,,,,,,,,,.2045553,.010161981,.086090125,.011427213,.075120807,.010927798,.064228989,.010369564,.032328527,.0098371217,.031894259,.0093461806,.036210794,.009091774,.033624738,.0085219294,.031176519,.0080621801,.027041854,.0074724145,.034891475,.0070814672,.031583805,.0065222965,.032182276,.0060600992,.022344179,.0057137688,.022206632,.0052315285,.024750443,.0047881622,.026664207,.0043612975,.026686279,.0039198003,.030376267,.0034870883,.030721135,.0031264608,.03148016,.0026755144,.029547162,.0022342443,.029613145,.0018720176,.028885676,.0014810952,.028842894,.0011227988,.027940212,.00075560197,.027822014,.00038995629,.027777776,0,.095862612,.004469513,.052192472,.11670592,9
.062003888,.01059421,.078268021,.0080959396,.12315071,.011384563,.041585676,.0070456183,,,,,,,,,,,,,,,,,,,.2025694,.010225521,.065811388,.011814423,.04840837,.011225605,.046624642,.010552402,.042875286,.010027218,.041815665,.0097501744,.034783535,.0091428179,.026661968,.0086561786,.030606885,.0080226036,.028047925,.0075945593,.032124497,.0069952402,.028260874,.006501134,.034575555,.0061194282,.036755193,.005603449,.032038625,.0051302598,.030156972,.0046728179,.025284477,.0042024944,.027730152,.0037374606,.028433148,.0033509901,.023709668,.0028700158,.024204483,.002396222,.026765624,.0020086134,.029441727,.0015899547,.027521128,.0012057961,.026596719,.00081144617,.027825927,.00041892496,.027777778,0,.089628153,.0042944001,.050213113,.11227993,10
